1,2023-05-19,28
2,2023-05-20,16
3,2023-05-21,28
4,2023-05-22,38
5,2023-05-23,30
6,2023-05-24,6
7,2023-05-25,21
8,2023-05-26,17
9,2023-05-27,39
10,2023-05-28,25
11,2023-05-29,11
12,2023-05-30,4
13,2023-05-31,29
14,2023-06-01,28
15,2023-06-02,47
16,2023-06-03,9
17,2023-06-04,2
18,2023-06-05,13
19,2023-06-06,48
20,2023-06-07,15
21,2023-06-08,2
22,2023-06-09,47
23,2023-06-10,10
24,2023-06-11,29
25,2023-06-12,23
26,2023-06-13,45
27,2023-06-14,44
28,2023-06-15,2
29,2023-06-16,19
30,2023-06-17,19
31,2023-06-18,16
32,2023-06-19,32
33,2023-06-20,7
34,2023-06-21,28
35,2023-06-22,7
36,2023-06-23,16
37,2023-06-24,17
38,2023-06-25,49
39,2023-06-26,28
40,2023-06-27,28
41,2023-06-28,37
42,2023-06-29,24
43,2023-06-30,19
44,2023-07-01,11
45,2023-07-02,16
46,2023-07-03,7
47,2023-07-04,25
48,2023-07-05,37
49,2023-07-06,45
50,2023-07-07,36
51,2023-07-08,33
52,2023-07-09,37
53,2023-07-10,28
54,2023-07-11,32
55,2023-07-12,8
56,2023-07-13,33
57,2023-07-14,46
58,2023-07-15,27
59,2023-07-16,46
60,2023-07-17,14
61,2023-07-18,42
62,2023-07-19,34
63,2023-07-20,26
64,2023-07-21,13
65,2023-07-22,5
66,2023-07-23,9
67,2023-07-24,12
68,2023-07-25,20
69,2023-07-26,9
70,2023-07-27,2
71,2023-07-28,49
72,2023-07-29,23
73,2023-07-30,27
74,2023-07-31,18
75,2023-08-01,47
76,2023-08-02,2
77,2023-08-03,33
78,2023-08-04,43
79,2023-08-05,37
80,2023-08-06,26
81,2023-08-07,32
82,2023-08-08,49
83,2023-08-09,17
84,2023-08-10,19
85,2023-08-11,6
86,2023-08-12,9
87,2023-08-13,33
88,2023-08-14,42
89,2023-08-15,9
90,2023-08-16,10
91,2023-08-17,45
92,2023-08-18,32
93,2023-08-19,39
94,2023-08-20,43
95,2023-08-21,26
96,2023-08-22,30
97,2023-08-23,48
98,2023-08-24,0
99,2023-08-25,46
100,2023-08-26,10
101,2023-08-27,36
102,2023-08-28,28
103,2023-08-29,49
104,2023-08-30,21
105,2023-08-31,23
106,2023-09-01,37
107,2023-09-02,9
108,2023-09-03,49
109,2023-09-04,38
110,2023-09-05,12
111,2023-09-06,31
112,2023-09-07,42
113,2023-09-08,40
114,2023-09-09,5
115,2023-09-10,42
116,2023-09-11,32
117,2023-09-12,24
118,2023-09-13,39
119,2023-09-14,48
120,2023-09-15,20
121,2023-09-16,47
122,2023-09-17,45
123,2023-09-18,47
124,2023-09-19,43
125,2023-09-20,46
126,2023-09-21,14
127,2023-09-22,11
128,2023-09-23,19
129,2023-09-24,9
130,2023-09-25,24
131,2023-09-26,4
132,2023-09-27,22
133,2023-09-28,42
134,2023-09-29,36
135,2023-09-30,12
136,2023-10-01,36
137,2023-10-02,5
138,2023-10-03,12
139,2023-10-04,4
140,2023-10-05,22
141,2023-10-06,47
142,2023-10-07,8
143,2023-10-08,38
144,2023-10-09,40
145,2023-10-10,34
146,2023-10-11,11
147,2023-10-12,40
148,2023-10-13,20
149,2023-10-14,37
150,2023-10-15,39
151,2023-10-16,7
152,2023-10-17,29
153,2023-10-18,9
154,2023-10-19,21
155,2023-10-20,16
156,2023-10-21,13
157,2023-10-22,13
158,2023-10-23,15
159,2023-10-24,14
160,2023-10-25,40
161,2023-10-26,45
162,2023-10-27,3
163,2023-10-28,17
164,2023-10-29,31
165,2023-10-30,5
166,2023-10-31,31
167,2023-11-01,42
168,2023-11-02,8
169,2023-11-03,13
170,2023-11-04,25
171,2023-11-05,15
172,2023-11-06,31
173,2023-11-07,0
174,2023-11-08,32
175,2023-11-09,31
176,2023-11-10,11
177,2023-11-11,16
178,2023-11-12,4
179,2023-11-13,35
180,2023-11-14,6
181,2023-11-15,2
182,2023-11-16,46
183,2023-11-17,17
184,2023-11-18,3
185,2023-11-19,5
186,2023-11-20,13
187,2023-11-21,32
188,2023-11-22,30
189,2023-11-23,31
190,2023-11-24,6
191,2023-11-25,13
192,2023-11-26,35
193,2023-11-27,7
194,2023-11-28,45
195,2023-11-29,17
196,2023-11-30,19
197,2023-12-01,14
198,2023-12-02,38
199,2023-12-03,26
200,2023-12-04,30
201,2023-12-05,8
202,2023-12-06,14
203,2023-12-07,21
204,2023-12-08,18
205,2023-12-09,0
206,2023-12-10,43
207,2023-12-11,39
208,2023-12-12,0
209,2023-12-13,37
210,2023-12-14,34
211,2023-12-15,12
212,2023-12-16,23
213,2023-12-17,5
214,2023-12-18,45
215,2023-12-19,0
216,2023-12-20,45
217,2023-12-21,24
218,2023-12-22,3
219,2023-12-23,10
220,2023-12-24,7
221,2023-12-25,24
222,2023-12-26,42
223,2023-12-27,7
224,2023-12-28,43
225,2023-12-29,0
226,2023-12-30,31
227,2023-12-31,11
228,2024-01-01,2
229,2024-01-02,20
230,2024-01-03,36
231,2024-01-04,6
232,2024-01-05,47
233,2024-01-06,37
234,2024-01-07,48
235,2024-01-08,30
236,2024-01-09,22
237,2024-01-10,7
238,2024-01-11,10
239,2024-01-12,25
240,2024-01-13,23
241,2024-01-14,15
242,2024-01-15,16
243,2024-01-16,44
244,2024-01-17,48
245,2024-01-18,21
246,2024-01-19,6
247,2024-01-20,29
248,2024-01-21,20
249,2024-01-22,6
250,2024-01-23,7
251,2024-01-24,32
252,2024-01-25,0
253,2024-01-26,3
254,2024-01-27,42
255,2024-01-28,46
256,2024-01-29,31
257,2024-01-30,17
258,2024-01-31,28
259,2024-02-01,16
260,2024-02-02,33
261,2024-02-03,32
262,2024-02-04,0
263,2024-02-05,21
264,2024-02-06,15
265,2024-02-07,19
266,2024-02-08,11
267,2024-02-09,14
268,2024-02-10,49
269,2024-02-11,47
270,2024-02-12,45
271,2024-02-13,28
272,2024-02-14,11
273,2024-02-15,28
274,2024-02-16,47
275,2024-02-17,41
276,2024-02-18,8
277,2024-02-19,15
278,2024-02-20,37
279,2024-02-21,23
280,2024-02-22,28
281,2024-02-23,34
282,2024-02-24,11
283,2024-02-25,48
284,2024-02-26,38
285,2024-02-27,28
286,2024-02-28,19
287,2024-02-29,34
288,2024-03-01,38
289,2024-03-02,29
290,2024-03-03,2
291,2024-03-04,8
292,2024-03-05,2
293,2024-03-06,45
294,2024-03-07,12
295,2024-03-08,7
296,2024-03-09,20
297,2024-03-10,39
298,2024-03-11,47
